onset	duration	trial_type	value	sample	memory_task_sentence_1	memory_task_response_1	memory_task_sentence_2	memory_task_response_2	sentences_start_ms
11.204	0.0	dative 1-3	1	11092	fake	fake	fake	real	2225
49.953	0.0	genitive 2-2	2	49836	fake	fake	real	fake	2200
86.44900000000001	0.0	dative 1-3	1	86326	real	real	real	real	2207
122.30000000000001	0.0	genitive 2-2	2	122180	real	real	real	fake	2113
158.047	0.0	genitive 2-2	2	157936	real	fake	real	real	1867
194.56099999999998	0.0	dative 1-3	1	194441	real	real	real	real	2260
229.83599999999998	0.0	dative 1-3	1	229721	real	real	fake	real	2108
265.896	0.0	genitive 2-2	2	265776	real	real	real	real	2280
301.888	0.0	dative 1-3	1	301763	real	fake	real	real	2183
337.336	0.0	dative 1-3	1	337226	fake	real	real	real	2195
372.90799999999996	0.0	genitive 2-2	2	372797	real	real	real	real	2269
407.747	0.0	genitive 2-2	2	407619	fake	real	real	real	2259
493.25500000000005	0.0	genitive 2-2	2	493128	fake	real	real	real	2142
528.792	0.0	genitive 2-2	2	528683	fake	real	real	real	2211
564.765	0.0	genitive 2-2	2	564646	fake	real	real	fake	2271
600.93	0.0	dative 1-3	1	600808	fake	real	real	real	1890
636.362	0.0	dative 1-3	1	636247	fake	real	real	real	2195
671.934	0.0	dative 1-3	1	671819	fake	fake	fake	real	2268
707.4879999999999	0.0	dative 1-3	1	707372	fake	fake	real	fake	2136
744.875	0.0	dative 1-3	1	744760	real	fake	real	fake	2275
780.307	0.0	genitive 2-2	2	780191	real	real	real	fake	2275
815.198	0.0	genitive 2-2	2	815079	real	real	real	real	2070
850.316	0.0	dative 1-3	1	850200	real	real	real	real	1999
885.713	0.0	genitive 2-2	2	885605	real	real	fake	real	2014
